VialID	box	rack	run	vials	atac	timecoursev2	run_real	POP	thaw_date	p3_date	lib_prep__date	p3_experimenter	lib_prep__experimenter	ash_num	index	COND	well	lib_1	lib_2	TP	IID	Age	Gender
F3	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		2	IAV	D9	92	96	T6	ASH060	23	F
F3	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		2	NS	D9	90	94	T6	ASH060	23	F
SV10	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		8	COV	D9	73	77	T6	ASH065	45	F
SV10	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		8	IAV	D9	76	80	T6	ASH065	45	F
SV10	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		8	NS	D9	74	78	T6	ASH065	45	F
SV12	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		5	COV	B9	89	93	T6	ASH066	21	F
SV12	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		5	IAV	B9	92	96	T6	ASH066	21	F
SV12	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		5	NS	B9	90	94	T6	ASH066	21	F
SV14	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		6	COV	D3	90	94	T6	ASH067	39	M
SV14	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		6	IAV	D3	89	93	T6	ASH067	39	M
SV14	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		6	NS	D3	91	95	T6	ASH067	39	M
